rowid,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,manual_tags1,manual_tags2,manual_tags3,manual_tags4,manual_tags5,manual_tags6,manual_tags7,manual_tags8,manual_tags9,manual_tags10,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id
186,5P749T27,journalArticle,2019,"Starns, Jeffrey J.; Cataldo, Andrea M.; Rotello, Caren M.; Annis, Jeffrey; Aschenbrenner, Andrew; Bröder, Arndt; Cox, Gregory; Criss, Amy; Curl, Ryan A.; Dobbins, Ian G.; Dunn, John; Enam, Tasnuva; Evans, Nathan J.; Farrell, Simon; Fraundorf, Scott H.; Gronlund, Scott D.; Heathcote, Andrew; Heck, Daniel W.; Hicks, Jason L.; Huff, Mark J.; Kellen, David; Key, Kylie N.; Kilic, Asli; Klauer, Karl Christoph; Kraemer, Kyle R.; Leite, Fábio P.; Lloyd, Marianne E.; Malejka, Simone; Mason, Alice; McAdoo, Ryan M.; McDonough, Ian M.; Michael, Robert B.; Mickes, Laura; Mizrak, Eda; Morgan, David P.; Mueller, Shane T.; Osth, Adam; Reynolds, Angus; Seale-Carlisle, Travis M.; Singmann, Henrik; Sloane, Jennifer F.; Smith, Andrew M.; Tillman, Gabriel; van Ravenzwaaij, Don; Weidemann, Christoph T.; Wells, Gary L.; White, Corey N.; Wilson, Jack",Assessing Theoretical Conclusions With Blinded Inference to Investigate a Potential Inference Crisis,Advances in Methods and Practices in Psychological Science,NA,2515-2459,10.1177/2515245919869583,https://doi.org/10.1177/2515245919869583,"Scientific advances across a range of disciplines hinge on the ability to make inferences about unobservable theoretical entities on the basis of empirical data patterns. Accurate inferences rely on both discovering valid, replicable data patterns and accurately interpreting those patterns in terms of their implications for theoretical constructs. The replication crisis in science has led to widespread efforts to improve the reliability of research findings, but comparatively little attention has been devoted to the validity of inferences based on those findings. Using an example from cognitive psychology, we demonstrate a blinded-inference paradigm for assessing the quality of theoretical inferences from data. Our results reveal substantial variability in experts’ judgments on the very same data, hinting at a possible inference crisis.",2019-12-01,2020-01-14T07:15:34Z,2020-01-14T07:15:48Z,2020-01-14T07:15:34Z,335-349,NA,4,2,NA,Advances in Methods and Practices in Psychological Science,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\JFNX88T8\Starns et al. - 2019 - Assessing Theoretical Conclusions With Blinded Inf.pdf,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bayesian methods; memory; metascience; open data; blinded inference; bootstrap; modeling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000186
187,5QHMEMS3,journalArticle,2019,"Brand, Charlotte Olivia; Ounsley, James Patrick; Post, Daniel Job van der; Morgan, Thomas Joshua Henry",Cumulative Science via Bayesian Posterior Passing:,Meta-Psychology,NA,2003-2714,10.15626/MP.2017.840,https://open.lnu.se/index.php/metapsychology/article/view/840,"This paper introduces a statistical technique known as “posterior passing” in which the results of past studies can be used to inform the analyses carried out by subsequent studies. We first describe the technique in detail and show how it can be implemented by individual researchers on an experiment by experiment basis. We then use a simulation to explore its success in identifying true parameter values compared to current statistical norms (ANOVAs and GLMMs). We find that posterior passing allows the true effect in the population to be found with greater accuracy and consistency than the other analysis types considered. Furthermore, posterior passing performs almost identically to a data analysis in which all data from all simulated studies are combined and analysed as one dataset. On this basis, we suggest that posterior passing is a viable means of implementing cumulative science. Furthermore, because it prevents the accumulation of large bodies of conflicting literature, it alleviates the need for traditional meta-analyses. Instead, posterior passing cumulatively and collaboratively provides clarity in real time as each new study is produced and is thus a strong candidate for a new, cumulative approach to scientific analyses and publishing.",2019-06-24,2020-01-29T08:00:39Z,2020-01-29T08:00:57Z,2020-01-29T08:00:39Z,NA,NA,NA,3,NA,NA,Cumulative Science via Bayesian Posterior Passing,NA,NA,NA,NA,NA,NA,en,"Copyright (c) 2019 Charlotte Olivia Brand, James Patrick Ounsley, Daniel Job van der Post, Thomas Joshua Henry Morgan",NA,NA,NA,open.lnu.se,NA,NA,NA,C:\Users\Steve\Zotero\storage\6HNG2L4P\Brand et al. - 2019 - Cumulative Science via Bayesian Posterior Passing.pdf; C:\Users\Steve\Zotero\storage\53W5IRIR\840.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,Bayesian statistics; replication crisis; metascience; cumulative science; psychological methods; stereotype threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000187
188,5QM56NFB,journalArticle,2018,"Tong, Jordan; Feiler, Daniel; Ivantsova, Anastasia","Good Choice, Bad Judgment: How Choice Under Uncertainty Generates Overoptimism",Psychological Science,NA,0956-7976,10.1177/0956797617731637,https://doi.org/10.1177/0956797617731637,"We examine a fundamental feature of choice under uncertainty: Overestimating an alternative makes one more likely to choose it. If people are naive to this structural feature, then they will tend to have erroneously inflated expectations for the alternatives they choose. In contrast to theories of motivated reasoning, this theory suggests that individuals will overestimate chosen alternatives even before they make their choice. In four studies, we found that students and managers exhibited behavior consistent with naïveté toward this relationship between estimation error and choice, leaving them overoptimistic about their chosen alternatives. This overoptimism from choosing positive error is exacerbated when the true values of the alternatives are close together, when there is more uncertainty about the values of alternatives, and when there are many alternatives to choose from. Our results illustrate how readily overoptimism emerges as a result of statistical naïveté, even in the absence of a desire to justify one’s decision after the choice.",2018-02-01,2018-03-19T23:35:39Z,2018-03-19T23:36:03Z,2018-03-19T23:35:39Z,254-265,NA,2,29,NA,Psychol Sci,"Good Choice, Bad Judgment",NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,"<p>Printing error in paper(?) - text refers to Preregistration badge, but Open Materials badge shown instead.</p>","C:\Users\Steve\Zotero\storage\TKNJHKGG\Tong et al. - 2018 - Good Choice, Bad Judgment How Choice Under Uncert.pdf",NA,OSBadgeOpenData,OSBadgePreregistered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000188
189,5R7VYDTL,journalArticle,2018,"Garcia, Darren J.; Skadberg, Rebecca M.; Schmidt, Megan; Bierma, Shane; Shorter, Rebecca L.; Waugh, Mark H.",It's not that Difficult: An Interrater Reliability Study of the DSM–5 Section III Alternative Model for Personality Disorders,Journal of Personality Assessment,NA,0022-3891,10.1080/00223891.2018.1428982,https://doi.org/10.1080/00223891.2018.1428982,"The Diagnostic and Statistical Manual of Mental Disorders (5th ed. [DSM–5]; American Psychiatric Association, 2013) Section III Alternative Model for Personality Disorders (AMPD) represents a novel approach to the diagnosis of personality disorder (PD). In this model, PD diagnosis requires evaluation of level of impairment in personality functioning (Criterion A) and characterization by pathological traits (Criterion B). Questions about clinical utility, complexity, and difficulty in learning and using the AMPD have been expressed in recent scholarly literature. We examined the learnability, interrater reliability, and clinical utility of the AMPD using a vignette methodology and graduate student raters. Results showed that student clinicians can learn Criterion A of the AMPD to a high level of interrater reliability and agreement with expert ratings. Interrater reliability of the 25 trait facets of the AMPD varied but showed overall acceptable levels of agreement. Examination of severity indexes of PD impairment showed the level of personality functioning (LPF) added information beyond that of global assessment of functioning (GAF). Clinical utility ratings were generally strong. The satisfactory interrater reliability of components of the AMPD indicates the model, including the LPF, is very learnable.",2018-11-02,2019-04-05T08:38:41Z,2019-04-05T08:38:58Z,2019-04-05T08:38:41Z,612-620,NA,6,100,NA,NA,It's not that Difficult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor and Francis+NEJM,NA,PMID: 29505282,NA,C:\Users\Steve\Zotero\storage\JP2VMHEP\Garcia et al. - 2018 - It's not that Difficult An Interrater Reliability.pdf,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000189
190,5RDWKZN2,journalArticle,2019,"Barlow, Fiona Kate; Hornsey, Matthew J.; Hayward, Lydia E.; Houkamau, Carla A.; Kang, Jemima; Milojev, Petar; Sibley, Chris G.",Why Do We Hold Mixed Emotions About Racial Out-Groups? A Case for Affect Matching,Psychological Science,NA,0956-7976,10.1177/0956797619844269,https://doi.org/10.1177/0956797619844269,"A four-wave survey on a national probabilistic sample (N = 17,399) tested novel predictions about how positive and negative contact with racial out-groups predicts warmth and anger toward those groups. Three competing hypotheses were tested: (a) that negative contact will outweigh positive contact when predicting both emotions (“bad is stronger than good”); (b) that negative and positive contact will similarly predict each emotion; and (c) that negative contact will have a disproportionately large association with anger (a negative emotion), whereas positive contact will have a disproportionately large association with warmth (a positive emotion)—a phenomenon known as affect matching. The data revealed clear evidence for affect matching: Negative contact was associated with high levels of anger more than low levels of warmth, whereas positive contact was associated with high levels of warmth more than low levels of anger. Results suggest that positive and negative feelings about out-groups may be tied to qualitatively distinct contact experiences.",2019-06-01,2020-01-29T05:59:01Z,2020-01-29T05:59:12Z,2020-01-29T05:59:01Z,917-929,NA,6,30,NA,Psychol Sci,Why Do We Hold Mixed Emotions About Racial Out-Groups?,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\DBZK4VCK\Barlow et al. - 2019 - Why Do We Hold Mixed Emotions About Racial Out-Gro.pdf,NA,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,prejudice; open materials; emotions; intergroup dynamics; racial and ethnic attitudes and relations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000190
191,5RZRDI9U,journalArticle,2015,"Dawtry, Rael J.; Sutton, Robbie M.; Sibley, Chris G.","Why Wealthier People Think People Are Wealthier, and Why It Matters: From Social Sampling to Attitudes to Redistribution",Psychological Science,NA,0956-7976,10.1177/0956797615586560,https://doi.org/10.1177/0956797615586560,"The present studies provide evidence that social-sampling processes lead wealthier people to oppose redistribution policies. In samples of American Internet users, wealthier participants reported higher levels of wealth in their social circles (Studies 1a and 1b). This was associated, in turn, with estimates of higher mean wealth in the wider U.S. population, greater perceived fairness of the economic status quo, and opposition to redistribution policies. Furthermore, results from a large-scale, nationally representative New Zealand survey revealed that low levels of neighborhood-level socioeconomic deprivation—an objective index of wealth within participants’ social circles—mediated the relation between income and satisfaction with the economic status quo (Study 2). These findings held controlling for relevant variables, including political orientation and perceived self-interest. Social-structural inequalities appear to combine with social-sampling processes to shape the different political attitudes of wealthier and poorer people.",2015-09-01,2018-03-20T04:28:19Z,2018-03-20T04:28:33Z,2018-03-20T04:28:19Z,1389-1400,NA,9,26,NA,Psychol Sci,"Why Wealthier People Think People Are Wealthier, and Why It Matters",NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,"C:\Users\Steve\Zotero\storage\97J4HC3R\Dawtry et al. - 2015 - Why Wealthier People Think People Are Wealthier, a.pdf",NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000191
192,5S85T8H5,journalArticle,2017,Ahn Sunyoung; Chang Charles B.; DeKeyser Robert; Lee‐Ellis Sunyoung,Age Effects in First Language Attrition: Speech Perception by Korean‐English Bilinguals,Language Learning,NA,0023-8333,10.1111/lang.12252,http://onlinelibrary.wiley.com/doi/abs/10.1111/lang.12252,"This study investigated how bilinguals? perception of their first language (L1) differs according to age of reduced contact with L1 after immersion in a second language (L2). Twenty?one L1 Korean?L2 English bilinguals in the United States, ranging in age of reduced contact from 3 to 15 years, and 17 control participants in Korea were tested perceptually on three L1 contrasts differing in similarity to L2 contrasts. Compared to control participants, bilinguals were less accurate on L1?specific contrasts, and their accuracy was significantly correlated with age of reduced contact, an effect most pronounced for the contrast most dissimilar to L2. These findings suggest that the earlier bilinguals are extensively exposed to L2, the less likely they are to perceive L1 sounds accurately. However, this relationship is modulated by crosslinguistic similarity, and a turning point in L2 acquisition and L1 attrition of phonology appears to occur at around age 12.",2017-07-20,2018-04-04T00:45:59Z,2018-04-04T00:46:15Z,2018-04-04T00:45:59Z,694-733,NA,3,67,NA,Language Learning,Age Effects in First Language Attrition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au (Atypon),NA,NA,NA,C:\Users\Steve\Zotero\storage\Y96GLIXB\Ahn Sunyoung et al. - 2017 - Age Effects in First Language Attrition Speech Pe.pdf; C:\Users\Steve\Zotero\storage\SR2SPESZ\lang.html,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,age effects; age of arrival; attrition; critical period; laryngeal contrast; perceptual assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000192
193,5VWF9V8N,journalArticle,2014,"Brandt, Mark J.; IJzerman, Hans; Blanken, Irene","Does Recalling Moral Behavior Change the Perception of Brightness?: A Replication and Meta-Analysis of Banerjee, Chatterjee, and Sinha (2012)",Social Psychology,NA,"1864-9335, 2151-2590",10.1027/1864-9335/a000191,http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000191,NA,2014-05,2018-04-06T05:41:37Z,2018-04-06T05:42:07Z,2018-04-06T05:41:37Z,246-252,NA,3,45,NA,NA,Does Recalling Moral Behavior Change the Perception of Brightness?,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,CrossRef,NA,NA,NA,C:\Users\Steve\Zotero\storage\76B4ZAGR\Brandt et al. - 2014 - Does Recalling Moral Behavior Change the Perceptio.pdf,NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000193
194,5Y8XYC7N,journalArticle,2014,"Sinclair, H. Colleen; Hood, Kristina B.; Wright, Brittany L.","Revisiting the Romeo and Juliet Effect (Driscoll, Davis, & Lipetz, 1972): Reexamining the Links Between Social Network Opinions and Romantic Relationship Outcomes",Social Psychology,NA,"1864-9335, 2151-2590",10.1027/1864-9335/a000181,http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000181,NA,2014-05,2018-04-06T05:29:26Z,2018-04-06T05:29:49Z,2018-04-06T05:29:26Z,170-178,NA,3,45,NA,NA,"Revisiting the Romeo and Juliet Effect (Driscoll, Davis, & Lipetz, 1972)",NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,CrossRef,NA,NA,NA,"C:\Users\Steve\Zotero\storage\QTUZ98KG\Sinclair et al. - 2014 - Revisiting the Romeo and Juliet Effect (Driscoll, .pdf",NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000194
195,5Z8ID9XJ,journalArticle,2014,"Žeželj, Iris L.; Jokić, Biljana R.","Replication of Experiments Evaluating Impact of Psychological Distance on Moral Judgment: (Eyal, Liberman & Trope, 2008; Gong & Medin, 2012)",Social Psychology,NA,"1864-9335, 2151-2590",10.1027/1864-9335/a000188,http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000188,NA,2014-05,2018-04-06T05:37:37Z,2018-04-06T05:38:39Z,2018-04-06T05:37:37Z,223-231,NA,3,45,NA,NA,Replication of Experiments Evaluating Impact of Psychological Distance on Moral Judgment,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,CrossRef,NA,NA,NA,C:\Users\Steve\Zotero\storage\BPEP7T74\Žeželj and Jokić - 2014 - Replication of Experiments Evaluating Impact of Ps.pdf,NA,OSBadgeOpenData,OSBadgePreregistered,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000195
196,5ZDA6YUV,journalArticle,2018,"Denissen, Jaap J. A.; Bleidorn, Wiebke; Hennecke, Marie; Luhmann, Maike; Orth, Ulrich; Specht, Jule; Zimmermann, Julia",Uncovering the Power of Personality to Shape Income,Psychological Science,NA,0956-7976,10.1177/0956797617724435,https://doi.org/10.1177/0956797617724435,"The notion of person-environment fit implies that personal and contextual factors interact in influencing important life outcomes. Using data from 8,458 employed individuals, we examined the combined effects of individuals’ actual personality traits and jobs’ expert-rated personality demands on earnings. Results from a response surface analysis indicated that the fit between individuals’ actual personality and the personality demands of their jobs is a predictor of income. Conclusions of this combined analysis were partly opposite to conclusions reached in previous studies using conventional regression methods. Individuals can earn additional income of more than their monthly salary per year if they hold a job that fits their personality. Thus, at least for some traits, economic success depends not only on having a “successful personality” but also, in part, on finding the best niche for one’s personality. We discuss the findings with regard to labor-market policies and individuals’ job-selection strategies.",2018-01-01,2018-03-19T23:42:11Z,2018-03-19T23:42:31Z,2018-03-19T23:42:11Z,3-13,NA,1,29,NA,Psychol Sci,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\6EH7GB97\Denissen et al. - 2018 - Uncovering the Power of Personality to Shape Incom.pdf,NA,OSBadgeOpenData,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000196
197,63XFFVAC,journalArticle,2016,"Porter, Shanette C.; Rheinschmidt-Same, Michelle; Richeson, Jennifer A.",Inferring Identity From Language: Linguistic Intergroup Bias Informs Social Categorization,Psychological Science,NA,0956-7976,10.1177/0956797615612202,https://doi.org/10.1177/0956797615612202,"The present research examined whether a communicator’s verbal, implicit message regarding a target is used as a cue for inferring that communicator’s social identity. Previous research has found linguistic intergroup bias (LIB) in individuals’ speech: They use abstract language to describe in-group targets’ desirable behaviors and concrete language to describe their undesirable behaviors (favorable LIB), but use concrete language for out-group targets’ desirable behaviors and abstract language for their undesirable behaviors (unfavorable LIB). Consequently, one can infer the type of language a communicator is likely to use to describe in-group and out-group targets. We hypothesized and found evidence for the reverse inference. Across four studies, individuals inferred a communicator’s social identity on the basis of the communicator’s use of an LIB. Specifically, participants more strongly believed that a communicator and target shared a social identity when the communicator used the favorable, rather than the unfavorable, LIB in describing that target.",2016-01-01,2018-03-20T01:52:19Z,2018-03-20T01:52:33Z,2018-03-20T01:52:19Z,94-102,NA,1,27,NA,Psychol Sci,Inferring Identity From Language,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\DZSFYDF8\Porter et al. - 2016 - Inferring Identity From Language Linguistic Inter.pdf,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000197
198,64JFLLAV,journalArticle,2018,"Taguchi, Naoko; Ishihara, Noriko",The Pragmatics of English as a Lingua Franca: Research and Pedagogy in the Era of Globalization,Annual Review of Applied Linguistics,NA,"0267-1905, 1471-6356",10.1017/S0267190518000028,https://www.cambridge.org/core/journals/annual-review-of-applied-linguistics/article/pragmatics-of-english-as-a-lingua-franca-research-and-pedagogy-in-the-era-of-globalization/A1839B76189CAD535DBB4D112C285C2F,"In step with advancing globalization, applied linguists are compelled to reconsider established assumptions about language use and learning (Kramsch, 2014). Focusing on English as a lingua franca (ELF), this article illustrates how realities of globalization have challenged our conventional ways of researching and teaching second language (L2) pragmatics. In the context of ELF where English is used as a medium of communication among nonnative speakers as well as between native and nonnative speakers, researchers need to examine pragmatic competence based on how L2 learners can navigate communicative demands by using communication strategies skillfully while negotiating their identities. At the same time, it is tenable for teachers to move away from the sole dependence on idealized native-speaker models of appropriateness, politeness, and formality in their pedagogical practice and instead incorporate a nonessentialist viewpoint into formal instruction. This article discusses these recent trends in researching and teaching pragmatics under the lingua franca framework.",2018-09,2019-03-20T12:40:05Z,2019-03-20T12:40:19Z,2019-03-20T12:40:05Z,80-101,NA,NA,38,NA,NA,The Pragmatics of English as a Lingua Franca,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,Cambridge Core,NA,NA,NA,C:\Users\Steve\Zotero\storage\RRLDMI2C\Taguchi en Ishihara - 2018 - The Pragmatics of English as a Lingua Franca Rese.pdf; C:\Users\Steve\Zotero\storage\U8KLTFKP\A1839B76189CAD535DBB4D112C285C2F.html,NA,OSBadgeOpenMaterials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000198
199,652IFSJM,journalArticle,2017,"Zhao, Li; Heyman, Gail D.; Chen, Lulu; Lee, Kang",Praising Young Children for Being Smart Promotes Cheating,Psychological Science,NA,0956-7976,10.1177/0956797617721529,https://doi.org/10.1177/0956797617721529,NA,2017-12-01,2018-03-19T23:53:40Z,2018-03-19T23:53:50Z,2018-03-19T23:53:40Z,1868-1870,NA,12,28,NA,Psychol Sci,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,SAGE Journals,NA,NA,NA,C:\Users\Steve\Zotero\storage\KC95GQ9V\Zhao et al. - 2017 - Praising Young Children for Being Smart Promotes C.pdf,NA,OSBadgeOpenData,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000199
